GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rules Engine,io.github.robert_f_ruff.rules_engine.loader,CriterionNotEvaluatedException,0,5,0,0,0,2,0,1,0,1
Rules Engine,io.github.robert_f_ruff.rules_engine.loader,Rule,0,176,0,22,0,35,0,23,0,12
Rules Engine,io.github.robert_f_ruff.rules_engine.loader,RuleIdActionSequence,0,9,0,0,0,1,0,1,0,1
Rules Engine,io.github.robert_f_ruff.rules_engine.loader,RuleCriterionDataTransfer,0,183,0,22,0,41,0,21,0,10
Rules Engine,io.github.robert_f_ruff.rules_engine.loader,Criterion,0,137,0,18,0,26,0,17,0,8
Rules Engine,io.github.robert_f_ruff.rules_engine.loader,RuleActionDataTransfer,0,146,0,18,0,29,0,19,0,10
Rules Engine,io.github.robert_f_ruff.rules_engine.loader,RuleRepository,0,481,0,26,0,108,0,22,0,9
Rules Engine,io.github.robert_f_ruff.rules_engine,Engine.Status,0,24,0,0,0,5,0,1,0,1
Rules Engine,io.github.robert_f_ruff.rules_engine,Engine,0,131,0,2,0,36,0,7,0,6
Rules Engine,io.github.robert_f_ruff.rules_engine.logic,ObservationData,0,85,0,10,0,17,0,12,0,7
Rules Engine,io.github.robert_f_ruff.rules_engine.logic,ObservationLogic,0,116,0,14,0,23,0,13,0,6
Rules Engine,io.github.robert_f_ruff.rules_engine.logic,LogicFactoryException,0,4,0,0,0,2,0,1,0,1
Rules Engine,io.github.robert_f_ruff.rules_engine.logic,PatientData.Gender,0,24,0,0,0,5,0,1,0,1
Rules Engine,io.github.robert_f_ruff.rules_engine.logic,PatientData,0,84,0,10,0,17,0,12,0,7
Rules Engine,io.github.robert_f_ruff.rules_engine.logic,PatientLogic,0,113,0,14,0,20,0,13,0,6
Rules Engine,io.github.robert_f_ruff.rules_engine.logic,LogicFactory,0,19,0,3,0,4,0,3,0,1
Rules Engine,io.github.robert_f_ruff.rules_engine.logic,LogicDataTypeException,0,5,0,0,0,2,0,1,0,1
Rules Engine,io.github.robert_f_ruff.rules_engine.logic,LogicCriterionException,0,5,0,0,0,2,0,1,0,1
Rules Engine,io.github.robert_f_ruff.rules_engine.rest,EngineResource.Status,0,24,0,0,0,5,0,1,0,1
Rules Engine,io.github.robert_f_ruff.rules_engine.rest,EngineResponse,0,49,0,6,0,12,0,8,0,5
Rules Engine,io.github.robert_f_ruff.rules_engine.rest,EngineResource,0,61,0,4,0,18,0,6,0,4
Rules Engine,io.github.robert_f_ruff.rules_engine.rest,DataResource,0,30,0,0,0,10,0,4,0,4
Rules Engine,io.github.robert_f_ruff.rules_engine.rest,EngineRequest,0,51,0,6,0,14,0,9,0,6
Rules Engine,io.github.robert_f_ruff.rules_engine.actions,SendEmail,35,182,0,19,7,42,0,15,0,5
Rules Engine,io.github.robert_f_ruff.rules_engine.actions,ActionFactoryException,0,4,0,0,0,2,0,1,0,1
Rules Engine,io.github.robert_f_ruff.rules_engine.actions,ActionException,0,4,0,0,0,2,0,1,0,1
Rules Engine,io.github.robert_f_ruff.rules_engine.actions,ActionFactory,0,54,0,2,0,16,0,5,0,4
Rules Engine,io.github.robert_f_ruff.rules_engine.actions,ParameterException,0,4,0,0,0,2,0,1,0,1
